OP: stats        | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: sort         | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: sort         | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: sort         | Call ID:   -1 | Result: 3
OP: sort         | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: sort         | Call ID:   -1 | Result: 3
OP: sort         | Call ID:   -1 | Result: 3
OP: stats        | Call ID:   -1 | Result: 3
OP: validate     | Call ID:   -1 | Result: 1
OP: validate     | Call ID:   -1 | Result: 1
OP: validate     | Call ID:   -1 | Result: 1
OP: validate     | Call ID:   -1 | Result: 1
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: stats        | Call ID:   -1 | Result: 4
OP: sort         | Call ID:   -1 | Result: 4
OP: validate     | Call ID:   -1 | Result: 1
